episode_cnt,recent_win_rate,avg_reward,avg_q_value,epsilon
10000,0.5,15.718,5.623517031874268,0.0819793741529944
20000,0.52,14.85,6.916039112371159,0.06626799001903368
30000,0.48,15.638,7.777292307247927,0.053222677262343504
40000,0.4,14.142,8.432688843809121,0.042564889109792274
50000,0.42,17.242,8.916274482066102,0.03405377553140732
60000,0.62,17.478,9.29298947714789,0.027221988642704857
70000,0.6,16.256,9.633291074270753,0.021510610965713113
80000,0.6,16.352,9.880141402217197,0.01711723140828526
90000,0.58,15.732,10.10915516762981,0.013608843448191452
100000,0.58,17.306,10.313059431252276,0.010741662571432237
110000,0.48,17.482,10.46919735783482,0.008501848181057915
120000,0.52,15.994,10.625008687927554,0.006629007313789423
130000,0.44,11.868,10.772052414164401,0.005208922447057943
140000,0.64,18.822,10.91018657933773,0.00410889795188133
150000,0.54,16.478,11.045136498477273,0.0031979670080038236
160000,0.54,16.92,11.166867429063002,0.0025050685305424364
170000,0.54,15.544,11.249806775967544,0.001977763153462704
180000,0.62,18.322,11.344913351762617,0.0015436918910775189
190000,0.6,19.804,11.436823245618937,0.0012185057015495595
200000,0.58,16.3,11.535977247595007,0.0009420980400310044
210000,0.7,18.066,11.611483403929686,0.0007382094850388204
220000,0.42,17.11,11.688584934819128,0.0005791378216460604
230000,0.6,18.362,11.750968976242435,0.0004533831514438888
240000,0.5,19.63,11.832541901908098,0.0003478831926545036
250000,0.48,18.988,11.907909422041003,0.00026855467204949836
260000,0.46,17.526,11.973296694192543,0.0002091776638486375
270000,0.44,18.73,12.022182692478868,0.00016457918151475436
280000,0.52,16.58,12.08988035647853,0.0001265596950223862
290000,0.56,17.102,12.150012055770857,9.788628890609149e-05
300000,0.5,16.154,12.203240848805395,7.467804057928604e-05
310000,0.62,18.27,12.25257977669979,5.796122916130904e-05
320000,0.62,15.162,12.31959325478825,4.429623866261734e-05
330000,0.48,13.87,12.386447071605748,3.3599442021882355e-05
340000,0.62,18.0,12.442299671146134,2.5457356373677147e-05
350000,0.44,17.014,12.495055796796553,1.9191485094648945e-05
360000,0.56,17.624,12.564753298366304,1.4370887928466982e-05
370000,0.46,15.782,12.606641244682965,1.0822872636163036e-05
380000,0.42,18.568,12.6682759190054,8.131485490619409e-06
390000,0.58,16.078,12.722379684465755,6.213364068097018e-06
400000,0.68,18.82,12.780612626694033,4.724595317327258e-06
410000,0.5,18.964,12.824568071257577,3.5579436547208873e-06
420000,0.52,19.93,12.855593776574961,2.7202164273667147e-06
430000,0.44,16.118,12.89930453670176,2.0968390351075404e-06
440000,0.62,17.086,12.936518406958742,1.5996308477087824e-06
450000,0.54,15.772,12.990808789346422,1.2151442881377101e-06
460000,0.54,15.884,13.036381190038533,9.206301647897195e-07
470000,0.48,16.572,13.08099157507351,7.020138550403411e-07
480000,0.56,17.146,13.127833138615571,5.401367151127278e-07
490000,0.48,16.194,13.165178756065202,4.210767104920084e-07
500000,0.5,18.908,13.1997807603059,3.2833360204476354e-07
510000,0.38,17.554,13.238806912750148,2.5425875383693095e-07
520000,0.58,15.384,13.275812903287033,1.9456778425805593e-07
530000,0.4,18.482,13.294053011737747,1.5287591837647792e-07
540000,0.48,17.276,13.328336324906461,1.2016360571710263e-07
550000,0.42,16.466,13.36331329172418,9.419270518819141e-08
560000,0.62,16.676,13.403966777848659,7.290364825505121e-08
570000,0.42,16.544,13.434305931118304,5.597318157908753e-08
580000,0.5,15.488,13.46436940494282,4.324977231862845e-08
590000,0.54,17.606,13.489184587214487,3.325842479612973e-08
600000,0.56,17.37,13.524740760147042,2.547599549088221e-08
610000,0.5,16.786,13.560834072279517,1.9222688004362156e-08
620000,0.58,14.22,13.58891177238416,1.4532699395401928e-08
630000,0.42,16.334,13.614000274581395,1.1023353679742071e-08
640000,0.54,17.55,13.632541042680579,8.428665259032861e-09
650000,0.48,16.92,13.67377128454996,6.430158707492259e-09
660000,0.68,16.546,13.69818510461768,4.8947204414604996e-09
670000,0.54,18.336,13.729890325940758,3.691143700969963e-09
680000,0.6,17.792,13.763712682859436,2.800242439655676e-09
690000,0.72,18.554,13.793289341588174,2.1180589758995963e-09
700000,0.52,17.464,13.822274978819689,1.6257611158540527e-09
710000,0.58,17.622,13.846203863598669,1.2592774178665532e-09
720000,0.54,17.388,13.875975494653208,9.63181965354866e-10
730000,0.52,17.202,13.9142086728248,7.230755366293538e-10
740000,0.52,16.102,13.946364488624711,5.382223613402169e-10
750000,0.44,18.122,13.96704668024008,4.002154304424178e-10
760000,0.5,18.31,13.989939810685195,2.9825936810002305e-10
770000,0.42,15.826,14.016906510191088,2.2326208787366192e-10
780000,0.3,17.06,14.03318199503239,1.6704288166290715e-10
790000,0.6,17.816,14.075330598352613,1.2370117129567463e-10
800000,0.68,17.604,14.104797956376595,9.226469269948787e-11
810000,0.4,18.25,14.1134315608123,6.901120848829335e-11
820000,0.48,17.528,14.134421231901772,5.180022671146366e-11
830000,0.54,18.254,14.15918557019648,3.902590157684968e-11
840000,0.44,16.098,14.183062096459729,2.919919706899501e-11
850000,0.48,17.766,14.209990638685195,2.19075319841124e-11
860000,0.48,17.872,14.240725131503904,1.6417881833556554e-11
870000,0.62,17.926,14.268068745020532,1.2342243254942647e-11
880000,0.46,17.48,14.293866401029533,9.218081924999746e-12
890000,0.32,15.492,14.308909816664274,6.937479502612354e-12
900000,0.64,17.32,14.32874574998963,5.2457473371841204e-12
910000,0.52,17.392,14.34658276365797,3.9469274286771476e-12
920000,0.52,16.328,14.371564622542268,2.9612524466408162e-12
930000,0.52,15.58,14.390037194815628,2.2203597789484714e-12
940000,0.6,14.704,14.415771248500114,1.660643101541816e-12
950000,0.54,17.406,14.43874351054819,1.2368300935926785e-12
960000,0.52,15.024,14.458406497351541,9.319311160286227e-13
970000,0.46,16.372,14.484032796343763,6.998434343317556e-13
980000,0.5,17.42,14.503178888527238,5.293060651654516e-13
990000,0.5,18.946,14.52843835036555,3.991437710447552e-13
1000000,0.52,18.406,14.552902237056777,3.0042269705703925e-13
