episode_cnt,recent_win_rate,avg_reward,avg_q_value,epsilon
100,0.46,15.45,14.7156396043367,0.09985930406606618
200,0.06,15.684,14.737802577170497,0.09950954168140703
300,0.62,16.51,14.75242766113296,0.09937484724615328
400,0.08,18.148,14.76862203613649,0.09904517267797902
500,0.74,13.816,14.785420522597644,0.09890603279500756
600,0.14,12.672,14.800670353154429,0.09859449571175803
700,0.56,17.072,14.817787928137976,0.09843534488855436
800,0.12,13.324,14.827361178246653,0.09816374341390295
900,0.66,14.612,14.845054676561634,0.09800533201165064
1000,0.02,17.926,14.854546067832366,0.09769691530243577
1100,0.48,18.242,14.86534567912797,0.0975535624237796
1200,0.12,16.894,14.87785036182187,0.09726845520886117
1300,0.54,16.212,14.8907182066141,0.09711668417861252
1400,0.06,14.872,14.894734811758815,0.09684301691295917
1500,0.6,16.956,14.910004638171346,0.09669132955773409
1600,0.24,18.912,14.91889997488501,0.09642228865985417
1700,0.68,17.26,14.931058470347082,0.09628717044129045
